"reviewer_id","state","city","street","latitude","longitude","rating_count","review_time","review_date","days_since_review","rating_num"
"28394","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","1"
"28395","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","4"
"28396","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 weeks ago","2025-05-11","21","5"
"28397","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","2"
"28398","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","6 years ago","2019-06-03","2190","5"
"28399","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","5"
"28400","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","1"
"28401","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","3"
"28402","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","1"
"28403","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","3"
"28404","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","11 months ago","2024-07-06","330","5"
"28405","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","6 years ago","2019-06-03","2190","4"
"28406","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a month ago","2025-05-02","30","5"
"28407","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","4"
"28408","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","3"
"28409","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","2"
"28410","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","5"
"28411","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","5"
"28412","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28413","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","2"
"28414","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","6 years ago","2019-06-03","2190","1"
"28415","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","a year ago","2024-06-01","365","5"
"28416","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","3"
"28417","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","3"
